id,count_of_days_in_reporting_period,count_of_days_in_system,count_of_scheduled_days,count_of_days_with_appointments,count_of_days_of_afterhours_activity,count_of_minutes_active_on_unscheduled_days,count_of_minutes_in_the_system,minutes_in_clinical_review_per_appointment,minutes_in_in_basket_per_appointment,minutes_in_notes_letters_per_appointment,minutes_in_orders_per_appointment,minutes_in_clinical_review_per_day,count_of_appointments,scheduled_hours_per_day,count_of_minutes_active_outside_7am_to_7pm,count_of_minutes_active_outside_scheduled_time_30_min_buffer,minutes_active_on_unscheduled_days_per_day,percent_of_minutes_on_sunday,minutes_in_other_per_day,count_of_sunday_minutes,percent_of_minutes_on_saturday,count_of_saturday_minutes,count_of_in_basket_minutes,minutes_in_in_basket_per_day,count_of_patient_call_messages_received,count_of_patient_call_messages_incomplete,count_of_patient_call_messages_completed,messages_received_per_day_patient_calls,average_days_until_patient_call_messages_marked_done,count_of_patient_medical_advice_requests_messages_completed,count_of_patient_medical_advice_requests_messages_incomplete,count_of_patient_medical_advice_requests_messages_received,messages_received_per_day_patient_medical_advice_request,average_days_until_patient_medical_advice_request_message_marked_done,count_of_result_messages_completed,count_of_result_messages_incomplete,count_of_result_messages_received,messages_received_per_day_results,average_days_until_result_message_marked_done,count_of_rx_auth_messages_incomplete,count_of_rx_auth_messages_received,messages_received_per_day_rx_auth,average_days_until_rx_auth_message_marked_done,total_messages_received,total_messages_completed,total_messages_incomplete,message_completion_rate,avg_days_to_complete,total_weekend_minutes,percent_weekend_minutes,afterhours_ratio,afterhours_minutes_ratio,minutes_per_appointment,unscheduled_minutes_ratio,outside_hours_ratio,inbox_minutes_per_day,inbox_minutes_per_message,inbox_minutes_per_appointment,appointments_per_day,scheduled_utilization
RF_67756352,364,259,117,117,39,3316,12600,62.1,38.8,162.2,17.7,85.7,280,27,614,2955,250.1,0.30000000000000004,87.7,359.6,0.30000000000000004,455.6,1207,55.9,55,26,44,0,203.8,137,40,175,8,199.5,179,16,149,7.1000000000000005,134.8,32,32,1.4000000000000001,13.5,411,360,114,0.759493670886076,137.9,815.2,0.30000000000000004,0.15057915057915058,0.04873015873015873,45,0.26317460317460317,0.04873015873015873,10.316239316239317,2.9367396593673964,4.310714285714286,2.393162393162393,0.12857142857142856
MD_67778340,364,154,60,60,3,0,2563,0,0,0,0,25.3,173,35,31,0,0,0,13.4,12.4,0,0.6,377,30.1,3,3,0,0,0,6,5,11,1,5.8999999999999995,0,6,6,0.6,0,0,0,0,0,20,6,14,0.3,1.4749999999999999,13,0,0.01948051948051948,0.012095200936402654,14.815028901734104,0,0.012095200936402654,6.283333333333333,18.85,2.179190751445087,2.8833333333333333,0.8193523214982442
MD_67778836,301,185,99,99,15,5675,26581,24.4,62.1,218.6,42.1,83.8,601,44,451,2214,592.4,0.30000000000000004,89.9,851.6999999999999,0.1,612.3000000000001,4138,228.4,144,37,129,9,139.4,658,88,741,43,14.3,79,6,70,3.5,194.5,43,43,2.8000000000000003,11.1,998,866,174,0.8326923076923077,89.825,1464,0.2,0.08108108108108109,0.016967006508408263,44.2279534109817,0.21349836349272036,0.016967006508408263,41.7979797979798,4.1462925851703405,6.885191347753744,6.070707070707071,0.09931906248824349
MD_67803336,364,244,79,79,6,2440,22047,64.6,64.8,63,15.100000000000001,278.2,224,12,107,1585,155.9,0.4,95.9,1063.7,0.2,296.1,5979,300.7,308,14,305,14,35.1,689,71,725,36.5,60.7,12,1,12,0.6000000000000001,38.1,450,450,22.1,3.2,1495,1006,536,0.6523994811932555,34.275,1359.8000000000002,0.30000000000000004,0.02459016393442623,0.004853268018324489,98.42410714285714,0.11067265387581077,0.004853268018324489,75.68354430379746,3.9993311036789296,26.691964285714285,2.8354430379746836,0.03265750442237039
RF_67818448,364,247,137,137,4,1755,9171,37.2,46.7,116.6,25.5,58.3,367,27,27,1177,186.7,0.5,40.6,325.4,0.2,252.6,1561,76.2,116,24,93,6,38.4,176,12,183,8.8,14.7,34,2,29,1.5,60.800000000000004,42,42,2,14.4,370,303,80,0.7911227154046997,32.075,578,0.35,0.016194331983805668,0.002944062806673209,24.989100817438693,0.19136408243375858,0.002944062806673209,11.394160583941606,4.218918918918919,4.253405994550409,2.678832116788321,0.17664376840039256
RF_67837876,91,26,18,18,1,0,91,0,0,0,0,0.4,18,3,3,0,0,0.2,1,5.7,0,0,37,5.3,0,0,0,0,0,3,0,2,0.4,11.1,3,0,3,0.30000000000000004,3.3,0,0,0,0,5,6,0,1,3.5999999999999996,5.7,0.1,0.038461538461538464,0.03296703296703297,5.055555555555555,0,0.03296703296703297,2.0555555555555554,7.4,2.0555555555555554,1,1.978021978021978
MD_67839304,364,238,161,161,3,2359,15655,20.9,48.7,137.5,21.6,53.9,643,32,3,2291,368.6,0,87.4,86.9,0,18,2586,127.7,619,426,224,31,67.1,563,48,601,30.4,31.1,17,22,26,1.4000000000000001,98.8,259,259,13.5,11.3,1505,804,755,0.5157152020525978,52.074999999999996,104.9,0,0.012605042016806723,1.916320664324497e-4,24.346811819595647,0.15068668157138296,1.916320664324497e-4,16.062111801242235,1.7182724252491695,4.021772939346812,3.9937888198757765,0.1226445225167678
NP_622264432,273,182,67,67,4,8723,22006,40.6,36.1,205.4,33.3,113.9,539,45,6,901,681.9,0.7000000000000001,107.2,1716.9,0.1,471.4,2070,104,99,18,97,5,57.1,260,21,270,13.4,56.8,77,11,61,3.1,139.79999999999998,101,101,5.1,0.9,531,434,151,0.7418803418803419,63.65,2188.3,0.4,0.02197802197802198,2.726529128419522e-4,40.827458256029686,0.3963918931200582,2.726529128419522e-4,30.895522388059703,3.8983050847457625,3.8404452690166977,8.044776119402986,0.12269381077887849
RF_622288744,364,202,94,94,1,523,5995,10.1,18.7,60.5,7.2,34.5,255,33,1,275,51.2,0.30000000000000004,26.1,213.20000000000002,0.2,176.8,924,53.8,18,8,11,1,20.5,76,31,106,6.2,35.199999999999996,8,1,9,0.6000000000000001,4.6,9,9,0.6000000000000001,0,142,95,49,0.6597222222222222,15.075,390,0.25,0.0049504950495049506,1.6680567139282736e-4,23.50980392156863,0.08723936613844871,1.6680567139282736e-4,9.829787234042554,6.507042253521127,3.623529411764706,2.7127659574468086,0.33027522935779813
RF_622288752,364,233,140,140,9,1345,10287,21.7,38.1,120.3,15.9,60.7,355,24,198,1968,177,0,40,77.9,0,136.7,1611,85.5,50,4,46,1,3.9,206,18,222,11.4,4,19,1,19,1,6.8,24,24,1.3,4.5,315,271,47,0.8522012578616353,4.8,214.6,0,0.03862660944206009,0.019247594050743656,28.977464788732394,0.13074754544570819,0.019247594050743656,11.507142857142858,5.114285714285714,4.538028169014084,2.5357142857142856,0.1399825021872266
